,root,graph_order,graph_size,unique_edges,avg degree,strongly_connected,weakly_connected,radius,diameter,center,density
0,سمو,162,731,198,4.512345679012346,126,1,1,2,['سمو'],0.028026991795107738
1,اله,529,5417,803,10.240075614366729,255,1,1,2,['اله'],0.01939408260296729
2,رحم,163,529,197,3.245398773006135,129,1,1,2,['رحم'],0.02003332575929713
3,حمد,38,105,39,2.763157894736842,36,1,1,2,['حمد'],0.07467994310099574
4,ربب,384,1850,498,4.817708333333333,270,1,1,2,['ربب'],0.012578872932985204
5,علم,272,1303,361,4.790441176470588,183,1,1,2,['علم'],0.01767690471022357
6,ملك,135,397,165,2.9407407407407407,105,1,1,2,['ملك'],0.021945826423438362
7,يوم,224,709,267,3.1651785714285716,180,1,1,2,['يوم'],0.014193625880845611
8,دين,80,175,93,2.1875,67,1,1,2,['دين'],0.027689873417721517
9,عبد,143,454,178,3.174825174825175,108,1,1,2,['عبد'],0.02235792376637447
10,عون,17,20,18,1.1764705882352942,15,1,1,2,['عون'],0.07352941176470588
11,هدي,140,536,182,3.8285714285714287,98,1,1,2,['هدي'],0.027543679342240494
12,صرط,27,84,28,3.111111111111111,25,1,1,2,['صرط'],0.11965811965811966
13,قوم,275,1206,362,4.385454545454546,188,1,1,2,['قوم'],0.016005308560053087
14,نعم,117,243,134,2.076923076923077,100,1,1,2,['نعم'],0.01790450928381963
15,غير,124,305,147,2.4596774193548385,100,1,1,2,['غير'],0.01999737739312877
16,غضب,26,47,29,1.8076923076923077,23,1,1,2,['غضب'],0.07230769230769231
17,ضلل,99,338,127,3.414141414141414,71,1,1,2,['ضلل'],0.03483817769532055
18,كتب,181,591,227,3.265193370165746,135,1,1,2,['كتب'],0.018139963167587477
19,ريب,45,65,48,1.4444444444444444,41,1,1,2,['ريب'],0.03282828282828283
20,وقي,143,400,167,2.797202797202797,119,1,1,2,['وقي'],0.019698611247907023
21,امن,328,1372,445,4.182926829268292,211,1,1,2,['امن'],0.012791825165958082
22,غيب,43,110,49,2.558139534883721,36,1,1,2,['غيب'],0.06090808416389812
23,صلو,66,176,76,2.6666666666666665,56,1,1,2,['صلو'],0.041025641025641026
24,رزق,92,231,110,2.510869565217391,74,1,1,2,['رزق'],0.027591973244147156
