,root,graph_order,graph_size,unique_edges,avg_degree,strongly_connected,weakly_connected,radius,diameter,center,density,root_degree,root_in_degree,root_out_degree,max_cooccurrence,root_freq
0,اله,18,16,15,0.8888888888888888,18,4,,,,0.05228758169934641,4,2,2,2,2
1,اله,585,3599,2655,6.1521367521367525,36,1,4,7,"['ﺐﺘﻛ', 'ﻱﺪﻫ', 'ﻲﻗﻭ', 'ﻦﻣﺍ', 'ﻡﻮﻗ', 'ﻖﻔﻧ', 'ﻞﺒﻗ', 'ﺮﺧﺍ', 'ﺐﺑﺭ', 'ﺮﻔﻛ', 'ﻪﻟﺍ', 'ﻊﻤﺳ', 'ﺱﻮﻧ', 'ﻝﻮﻗ', 'ﻡﻮﻳ', 'ﻥﻮﻛ', 'ﺪﺴﻓ', 'ﺽﺭﺍ', 'ﺢﻠﺻ', 'ﻢﻠﻋ', 'ﻞﺜﻣ', 'ﻢﻠﻇ', 'ﻮﻤﺳ', 'ﺕﻮﻣ', 'ﻞﻠﻛ', 'ﺎﻴﺷ', 'ﺪﺒﻋ', 'ﻲﻨﺑ', 'ﺝﺮﺧ', 'ﻮﻋﺩ', 'ﻕﺪﺻ', 'ﺩﺪﻋ', 'ﻪﺒﺷ', 'ﺾﻌﺑ', 'ﺩﻭﺭ', 'ﺪﻌﺑ', 'ﻊﻤﺟ', 'ﻚﻠﻣ', 'ﻒﻠﺧ', 'ﺎﺒﻧ', 'ﻦﻜﺳ', 'ﻞﻛﺍ', 'ﻭﺪﻋ', 'ﻲﻳﺍ', 'ﺮﺒﺻ', 'ﺬﺧﺍ', 'ﻮﻔﻋ', 'ﻞﺘﻗ', 'ﺮﻴﻏ', 'ﻦﻴﺑ', 'ﺭﺮﺳ', 'ﻢﻠﺳ', 'ﺎﻴﺟ', 'ﻢﺛﺍ', 'ﻞﺳﺭ', 'ﻑﺮﻋ', 'ﺪﺣﺍ', 'ﻦﺘﻓ', 'ﻞﻠﺣ', 'ﺐﺴﺣ', 'ﻲﻧﺍ', 'ﻊﻴﺑ']",0.010534480739960193,570,281,289,22,289
2,اله,439,2075,1584,4.7266514806378135,43,1,4,7,"['ﻪﻟﺍ', 'ﻖﻘﺣ', 'ﺏﺬﻋ', 'ﺎﻴﺷ', 'ﻢﻠﻋ', 'ﻦﻣﺍ', 'ﺪﻨﻋ', 'ﺐﺑﺭ', 'ﺐﻧﺫ', 'ﺐﺒﺣ', 'ﺮﻴﺧ', 'ﻲﻗﻭ', 'ﻲﺗﺍ', 'ﺕﻮﻣ', 'ﻖﻠﺧ', 'ﺭﺮﺿ']",0.010791441736616012,422,207,215,14,215
3,اله,462,2286,1664,4.9480519480519485,47,1,4,7,"['ﺲﻔﻧ', 'ﻮﺴﻧ', 'ﻪﻟﺍ', 'ﻥﻮﻛ', 'ﻚﻠﻣ', 'ﺎﻴﺷ', 'ﻝﻮﻗ', 'ﻲﺸﺧ', 'ﻢﻠﻇ', 'ﺭﻮﻧ', 'ﻞﻠﻛ', 'ﻞﺳﺭ', 'ﻢﻈﻋ', 'ﻭﺪﻋ', 'ﺏﺬﻋ', 'ﺢﻠﺻ', 'ﺍﻮﺳ', 'ﺮﻔﻛ', 'ﻦﻣﺍ', 'ﻦﻴﺑ', 'ﺬﺧﺍ', 'ﻱﺪﻫ', 'ﺪﺟﻭ']",0.010733301405752599,451,220,231,28,231
4,اله,422,1678,1329,3.976303317535545,35,1,5,9,"['ﻦﻣﺍ', 'ﻞﻠﺣ', 'ﻡﺮﺣ', 'ﻪﻟﺍ', 'ﺩﻭﺭ', 'ﻢﻣﺍ', 'ﺐﺑﺭ', 'ﻡﻮﻗ', 'ﻭﺪﻋ', 'ﻲﻗﻭ', 'ﻢﺛﺍ', 'ﻢﺴﻗ', 'ﺮﻔﻛ', 'ﻦﻳﺩ', 'ﻲﺸﺧ', 'ﻝﺎﺳ', 'ﻝﻮﻗ', 'ﻢﻠﻋ', 'ﺮﻛﺫ', 'ﻮﻤﺳ', 'ﻉﺮﺳ', 'ﻲﺗﺍ', 'ﺐﺘﻛ', 'ﻦﺼﺣ', 'ﻞﺒﻗ', 'ﺬﺧﺍ', 'ﻥﺪﺧ', 'ﻞﻤﻋ', 'ﺮﺧﺍ', 'ﻮﻠﺻ', 'ﻱﺪﻳ', 'ﻥﻮﻛ', 'ﺎﻴﺟ', 'ﻖﺛﻭ', 'ﻊﻤﺳ', 'ﻉﻮﻃ', 'ﺪﻬﺷ', 'ﺢﻠﺻ', 'ﻞﻛﻭ', 'ﻲﻨﺑ', 'ﺚﻌﺑ', 'ﻮﻛﺯ', 'ﻞﺳﺭ', 'ﻞﺧﺩ', 'ﻦﻨﺟ', 'ﺪﻌﺑ', 'ﻦﻌﻟ', 'ﺐﺒﺣ', 'ﻦﻴﺑ', 'ﺎﺒﻧ', 'ﻞﻫﺍ', 'ﺮﺜﻛ', 'ﺭﻮﻧ', 'ﺝﺮﺧ', 'ﻢﻠﻇ', 'ﻚﻠﻣ', 'ﺏﺬﻋ', 'ﺩﺩﺭ', 'ﺱﻮﻧ', 'ﺯﺰﻋ', 'ﺭﺬﺣ', 'ﻲﻟﻭ', 'ﻝﺰﻧ', 'ﻕﺪﺻ', 'ﻮﻠﺑ', 'ﻦﻤﻳ', 'ﺏﺰﺣ', 'ﻢﻘﻧ', 'ﺪﺒﻋ', 'ﺲﻴﻟ', 'ﻙﺮﺷ', 'ﺲﺴﻣ']",0.00944490099177089,301,150,151,12,151
5,اله,421,1781,1440,4.2304038004750595,29,1,4,7,"['ﻪﻟﺍ', 'ﻢﻠﻇ', 'ﻢﻠﻋ', 'ﻥﻮﻛ', 'ﻝﻮﻗ', 'ﻙﺮﺷ', 'ﺏﺬﻋ', 'ﺭﺮﺿ', 'ﺎﻴﺷ', 'ﻢﻜﺣ', 'ﺪﻬﺷ', 'ﻡﺮﺣ']",0.010072390001131094,183,90,93,11,93
6,اله,477,1939,1590,4.064989517819707,60,1,4,8,['ﻝﻮﻗ'],0.008539893944999384,139,69,70,11,70
7,اله,266,728,616,2.736842105263158,54,1,5,9,"['ﻪﻟﺍ', 'ﻦﻣﺍ', 'ﺮﻛﺫ', 'ﺪﻋﻭ', 'ﺖﺒﺛ', 'ﻲﻀﻗ']",0.010327706057596822,176,87,89,8,89
8,اله,366,1517,1172,4.144808743169399,30,1,4,7,"['ﻪﻟﺍ', 'ﺮﻔﻛ', 'ﻖﻔﻧ']",0.011355640392244928,342,170,172,17,172
9,اله,290,1020,857,3.5172413793103448,32,1,4,8,"['ﻪﻟﺍ', 'ﻡﻮﻗ']",0.012170385395537525,121,58,63,8,63
